,open,high,low,close
2005-01-01T22:00:00.000000000Z,80.135,80.385,80.135,80.195
2005-01-02T22:00:00.000000000Z,80.195,80.460,79.600,79.980
2005-01-03T22:00:00.000000000Z,79.980,80.380,79.620,79.980
2005-01-04T22:00:00.000000000Z,79.980,80.080,79.440,79.640
2005-01-05T22:00:00.000000000Z,79.640,80.020,79.440,79.870
2005-01-06T22:00:00.000000000Z,79.870,80.060,79.140,79.345
2005-01-08T22:00:00.000000000Z,79.345,79.395,79.185,79.375
2005-01-09T22:00:00.000000000Z,79.375,79.515,78.940,79.050
2005-01-10T22:00:00.000000000Z,79.050,79.460,78.650,78.690
2005-01-11T22:00:00.000000000Z,78.690,78.950,77.950,78.580
2005-01-12T22:00:00.000000000Z,78.580,78.780,78.200,78.360
2005-01-13T22:00:00.000000000Z,78.360,78.470,77.140,77.425
2005-01-14T22:00:00.000000000Z,77.425,77.425,77.415,77.415
2005-01-15T22:00:00.000000000Z,77.415,77.535,77.385,77.485
2005-01-16T22:00:00.000000000Z,77.485,77.770,77.240,77.400
2005-01-17T22:00:00.000000000Z,77.400,77.730,77.010,77.250
2005-01-18T22:00:00.000000000Z,77.250,78.410,77.020,78.150
2005-01-19T22:00:00.000000000Z,78.150,78.680,77.920,78.450
2005-01-20T22:00:00.000000000Z,78.450,79.420,78.300,79.025
2005-01-21T22:00:00.000000000Z,79.025,79.035,79.015,79.025
2005-01-22T22:00:00.000000000Z,79.025,79.055,78.895,79.035
2005-01-23T22:00:00.000000000Z,79.035,79.420,78.870,79.050
2005-01-24T22:00:00.000000000Z,79.050,79.790,78.940,79.630
2005-01-25T22:00:00.000000000Z,79.630,79.920,79.220,79.880
2005-01-26T22:00:00.000000000Z,79.880,80.320,79.750,79.840
2005-01-27T22:00:00.000000000Z,79.840,80.320,79.750,80.045
2005-01-28T22:00:00.000000000Z,80.045,80.055,80.035,80.045
2005-01-29T22:00:00.000000000Z,80.045,80.185,80.035,80.145
2005-01-30T22:00:00.000000000Z,80.145,80.440,80.000,80.420
2005-01-31T22:00:00.000000000Z,80.420,80.480,79.870,80.250
2005-02-01T22:00:00.000000000Z,80.250,80.820,80.060,80.610
2005-02-02T22:00:00.000000000Z,80.610,80.890,80.290,80.540
2005-02-03T22:00:00.000000000Z,80.540,80.630,79.900,80.185
2005-02-04T22:00:00.000000000Z,80.185,80.195,80.175,80.185
2005-02-05T22:00:00.000000000Z,80.185,80.295,80.105,80.225
2005-02-06T22:00:00.000000000Z,80.225,80.850,79.865,80.470
2005-02-07T22:00:00.000000000Z,80.470,81.150,80.220,81.110
2005-02-08T22:00:00.000000000Z,81.110,81.530,80.640,81.380
2005-02-09T22:00:00.000000000Z,81.380,82.960,81.250,82.880
2005-02-10T22:00:00.000000000Z,82.880,83.200,82.570,83.095
2005-02-11T22:00:00.000000000Z,83.095,83.095,83.095,83.095
2005-02-12T22:00:00.000000000Z,83.095,83.095,82.815,82.855
2005-02-13T22:00:00.000000000Z,82.855,82.965,82.270,82.800
2005-02-14T22:00:00.000000000Z,82.800,82.850,82.050,82.250
2005-02-15T22:00:00.000000000Z,82.250,82.800,82.095,82.690
2005-02-16T22:00:00.000000000Z,82.690,83.220,82.550,83.160
2005-02-17T22:00:00.000000000Z,83.160,83.450,82.600,83.295
2005-02-19T22:00:00.000000000Z,83.295,83.585,83.295,83.395
2005-02-20T22:00:00.000000000Z,83.395,83.545,83.110,83.390
2005-02-21T22:00:00.000000000Z,83.390,83.410,82.410,82.670
2005-02-22T22:00:00.000000000Z,82.670,83.080,82.400,82.410
2005-02-23T22:00:00.000000000Z,82.410,83.060,82.300,82.880
2005-02-24T22:00:00.000000000Z,82.880,82.920,82.240,82.755
2005-02-26T22:00:00.000000000Z,82.755,82.855,82.735,82.835
2005-02-27T22:00:00.000000000Z,82.835,82.940,82.445,82.850
2005-02-28T22:00:00.000000000Z,82.850,82.960,81.740,82.180
2005-03-01T22:00:00.000000000Z,82.180,82.300,81.520,82.020
2005-03-02T22:00:00.000000000Z,82.020,82.490,81.870,82.440
2005-03-03T22:00:00.000000000Z,82.440,83.040,82.270,82.855
2005-03-04T22:00:00.000000000Z,82.855,82.855,82.855,82.855
2005-03-05T22:00:00.000000000Z,82.855,82.875,82.715,82.725
2005-03-06T22:00:00.000000000Z,82.725,83.420,82.575,83.330
2005-03-07T22:00:00.000000000Z,83.330,83.670,83.160,83.580
2005-03-08T22:00:00.000000000Z,83.580,83.590,82.270,82.460
2005-03-09T22:00:00.000000000Z,82.460,83.010,81.990,82.370
2005-03-10T22:00:00.000000000Z,82.370,82.645,82.000,82.455
2005-03-11T22:00:00.000000000Z,82.455,82.465,82.455,82.465
2005-03-12T22:00:00.000000000Z,82.465,82.555,82.275,82.325
2005-03-13T22:00:00.000000000Z,82.325,82.910,82.275,82.550
2005-03-14T22:00:00.000000000Z,82.550,82.790,82.400,82.680
2005-03-15T22:00:00.000000000Z,82.680,82.850,82.110,82.660
2005-03-16T22:00:00.000000000Z,82.660,83.010,82.440,82.940
2005-03-17T22:00:00.000000000Z,82.940,83.275,82.700,83.255
2005-03-18T22:00:00.000000000Z,83.255,83.275,83.255,83.275
2005-03-19T22:00:00.000000000Z,83.275,83.275,83.155,83.185
2005-03-20T22:00:00.000000000Z,83.185,83.250,82.530,82.610
2005-03-21T22:00:00.000000000Z,82.610,83.320,82.390,82.690
2005-03-22T22:00:00.000000000Z,82.690,82.690,81.530,81.830
2005-03-23T22:00:00.000000000Z,81.830,82.330,81.730,82.150
2005-03-24T22:00:00.000000000Z,82.150,82.355,82.000,82.065
2005-03-26T22:00:00.000000000Z,82.065,82.125,82.065,82.125
2005-03-27T22:00:00.000000000Z,82.125,82.640,82.095,82.410
2005-03-28T22:00:00.000000000Z,82.410,83.140,82.310,82.900
2005-03-29T22:00:00.000000000Z,82.900,83.150,82.710,82.870
2005-03-30T22:00:00.000000000Z,82.870,83.010,82.560,82.810
2005-03-31T22:00:00.000000000Z,82.810,83.190,82.670,82.935
2005-04-02T22:00:00.000000000Z,82.935,83.035,82.875,82.905
2005-04-03T21:00:00.000000000Z,82.905,83.190,82.735,83.130
2005-04-04T21:00:00.000000000Z,83.130,83.410,82.890,83.170
2005-04-05T21:00:00.000000000Z,83.170,83.260,82.570,83.130
2005-04-06T21:00:00.000000000Z,83.130,83.440,82.850,83.230
2005-04-07T21:00:00.000000000Z,83.230,83.850,83.060,83.535
2005-04-08T21:00:00.000000000Z,83.535,83.535,83.535,83.535
2005-04-09T21:00:00.000000000Z,83.535,83.625,83.505,83.515
2005-04-10T21:00:00.000000000Z,83.515,83.800,83.400,83.630
2005-04-11T21:00:00.000000000Z,83.630,83.930,83.340,83.570
2005-04-12T21:00:00.000000000Z,83.570,83.710,83.280,83.490
2005-04-13T21:00:00.000000000Z,83.490,83.660,83.220,83.340
2005-04-14T21:00:00.000000000Z,83.340,83.360,82.745,82.835
2005-04-16T21:00:00.000000000Z,82.835,82.875,82.705,82.735
2005-04-17T21:00:00.000000000Z,82.735,82.815,82.050,82.550
2005-04-18T21:00:00.000000000Z,82.550,82.630,82.090,82.370
2005-04-19T21:00:00.000000000Z,82.370,82.980,82.350,82.880
2005-04-20T21:00:00.000000000Z,82.880,83.255,82.650,82.980
2005-04-21T21:00:00.000000000Z,82.980,83.130,82.620,82.805
2005-04-22T21:00:00.000000000Z,82.805,82.815,82.805,82.815
2005-04-23T21:00:00.000000000Z,82.815,82.815,82.275,82.315
2005-04-24T21:00:00.000000000Z,82.315,82.780,82.220,82.480
2005-04-25T21:00:00.000000000Z,82.480,82.760,82.320,82.490
2005-04-26T21:00:00.000000000Z,82.490,82.640,81.990,82.230
2005-04-27T21:00:00.000000000Z,82.230,82.690,82.050,82.640
2005-04-28T21:00:00.000000000Z,82.640,82.680,81.785,81.805
