,open,high,low,close
2017-01-02 22:00:00,84.419,85.482,84.353,85.014
2017-01-03 22:00:00,84.999,85.712,84.922,85.398
2017-01-04 22:00:00,85.394,85.458,84.558,84.656
2017-01-05 22:00:00,84.675,85.492,84.570,85.366
2017-01-08 22:00:00,85.384,85.920,85.297,85.344
2017-01-09 22:00:00,85.221,85.424,85.056,85.319
2017-01-10 22:00:00,85.300,86.102,85.231,85.884
2017-01-11 22:00:00,85.858,85.998,85.360,85.858
2017-01-12 22:00:00,85.842,86.284,85.684,85.883
2017-01-15 22:00:00,85.530,85.788,85.018,85.378
2017-01-16 22:00:00,85.384,85.600,85.007,85.216
2017-01-17 22:00:00,85.197,86.153,85.046,86.037
2017-01-18 22:00:00,86.054,87.074,85.950,86.850
2017-01-19 22:00:00,86.830,87.047,86.331,86.594
2017-01-22 22:00:00,86.594,86.594,85.335,85.462
2017-01-23 22:00:00,85.458,86.325,85.384,86.266
2017-01-24 22:00:00,86.278,86.510,85.388,85.788
2017-01-25 22:00:00,85.717,86.456,85.654,86.286
2017-01-26 22:00:00,86.328,87.092,86.163,86.881
2017-01-29 22:00:00,86.764,86.880,85.736,85.957
2017-01-30 22:00:00,85.952,86.084,85.200,85.556
2017-01-31 22:00:00,85.582,86.115,85.354,85.909
2017-02-01 22:00:00,85.884,86.522,85.836,86.382
2017-02-02 22:00:00,86.404,86.727,86.022,86.514
2017-02-05 22:00:00,86.336,86.494,85.468,85.598
2017-02-06 22:00:00,85.581,85.897,85.240,85.728
2017-02-07 22:00:00,85.720,85.825,85.370,85.564
2017-02-08 22:00:00,85.580,86.450,85.365,86.348
2017-02-09 22:00:00,86.352,87.186,86.342,86.919
2017-02-12 22:00:00,87.220,87.496,86.832,86.900
2017-02-13 22:00:00,86.872,87.578,86.858,87.558
2017-02-14 22:00:00,87.548,88.152,87.522,88.034
2017-02-15 22:00:00,88.008,88.182,87.010,87.145
2017-02-16 22:00:00,87.134,87.462,86.304,86.457
2017-02-19 22:00:00,86.626,87.011,86.482,86.961
2017-02-20 22:00:00,86.967,87.321,86.848,87.256
2017-02-21 22:00:00,87.236,87.394,86.692,87.278
2017-02-22 22:00:00,87.262,87.337,86.774,86.894
2017-02-23 22:00:00,86.880,87.082,85.894,86.024
2017-02-26 22:00:00,86.161,86.642,85.851,86.477
2017-02-27 22:00:00,86.484,86.610,85.857,86.359
2017-02-28 22:00:00,86.338,87.323,86.266,87.300
2017-03-01 22:00:00,87.304,87.485,86.550,86.636
2017-03-02 22:00:00,86.638,86.714,86.199,86.618
2017-03-05 22:00:00,86.451,86.604,86.168,86.337
2017-03-06 22:00:00,86.306,86.918,86.274,86.482
2017-03-07 22:00:00,86.494,86.550,86.072,86.101
2017-03-08 22:00:00,86.061,86.415,85.852,86.274
2017-03-09 22:00:00,86.278,87.072,86.204,86.575
2017-03-12 21:00:00,86.629,87.034,86.502,86.978
2017-03-13 21:00:00,86.986,87.007,86.613,86.734
2017-03-14 21:00:00,86.758,87.490,86.690,87.412
2017-03-15 21:00:00,87.401,87.492,86.698,86.996
2017-03-16 21:00:00,86.985,87.215,86.610,86.830
2017-03-19 21:00:00,86.702,87.242,86.676,86.998
2017-03-20 21:00:00,87.014,87.108,85.810,85.919
2017-03-21 21:00:00,85.880,85.941,84.823,85.345
2017-03-22 21:00:00,85.355,85.504,84.420,84.608
2017-03-23 21:00:00,84.602,85.084,84.354,84.880
2017-03-26 21:00:00,84.691,84.789,83.904,84.294
2017-03-27 21:00:00,84.291,84.927,83.827,84.844
2017-03-28 21:00:00,84.840,85.274,84.677,85.164
2017-03-29 21:00:00,85.160,85.614,84.896,85.522
2017-03-30 21:00:00,85.504,85.770,84.948,84.984
2017-04-02 21:00:00,85.048,85.088,84.239,84.338
2017-04-03 21:00:00,84.358,84.408,83.230,83.765
2017-04-04 21:00:00,83.778,84.412,83.584,83.791
