,close_sma_6,close_sma_3
2018-04-03 22:00:00,,
2018-04-03 23:00:00,,
2018-04-04 00:00:00,,81.839
2018-04-04 01:00:00,,81.899
2018-04-04 02:00:00,,82.003
2018-04-04 03:00:00,81.963,82.086
2018-04-04 04:00:00,82.006,82.113
2018-04-04 05:00:00,82.052,82.101
2018-04-04 06:00:00,82.076,82.066
2018-04-04 07:00:00,81.992,81.871
2018-04-04 08:00:00,81.902,81.703
2018-04-04 09:00:00,81.782,81.497
2018-04-04 10:00:00,81.671,81.471
2018-04-04 11:00:00,81.59,81.477
2018-04-04 12:00:00,81.522,81.546
2018-04-04 13:00:00,81.564,81.657
2018-04-04 14:00:00,81.65,81.824
2018-04-04 15:00:00,81.756,81.966
2018-04-04 16:00:00,81.873,82.089
2018-04-04 17:00:00,81.959,82.095
2018-04-04 18:00:00,82.063,82.161
2018-04-04 19:00:00,82.168,82.247
2018-04-04 20:00:00,82.225,82.356
2018-04-04 21:00:00,82.28,82.398
2018-04-04 22:00:00,82.335,82.424
2018-04-04 23:00:00,82.398,82.44
2018-04-05 00:00:00,82.432,82.467
2018-04-05 01:00:00,82.441,82.459
2018-04-05 02:00:00,82.447,82.454
2018-04-05 03:00:00,82.442,82.417
2018-04-05 04:00:00,82.404,82.348
2018-04-05 05:00:00,82.365,82.275
2018-04-05 06:00:00,82.349,82.282
2018-04-05 07:00:00,82.326,82.304
2018-04-05 08:00:00,82.302,82.33
2018-04-05 09:00:00,82.283,82.284
2018-04-05 10:00:00,82.282,82.261
2018-04-05 11:00:00,82.29,82.25
2018-04-05 12:00:00,82.272,82.261
2018-04-05 13:00:00,82.288,82.315
2018-04-05 14:00:00,82.337,82.424
2018-04-05 15:00:00,82.401,82.541
2018-04-05 16:00:00,82.445,82.575
2018-04-05 17:00:00,82.48,82.536
2018-04-05 18:00:00,82.526,82.511
2018-04-05 19:00:00,82.545,82.515
2018-04-05 20:00:00,82.534,82.532
2018-04-05 21:00:00,82.52,82.529
2018-04-05 22:00:00,82.46,82.406
2018-04-05 23:00:00,82.405,82.277
2018-04-06 00:00:00,82.361,82.192
2018-04-06 01:00:00,82.332,82.257
2018-04-06 02:00:00,82.317,82.357
2018-04-06 03:00:00,82.284,82.376
2018-04-06 04:00:00,82.327,82.397
2018-04-06 05:00:00,82.364,82.371
2018-04-06 06:00:00,82.38,82.384
2018-04-06 07:00:00,82.403,82.408
2018-04-06 08:00:00,82.422,82.472
2018-04-06 09:00:00,82.446,82.508
2018-04-06 10:00:00,82.457,82.507
2018-04-06 11:00:00,82.462,82.452
2018-04-06 12:00:00,82.477,82.445
2018-04-06 13:00:00,82.476,82.445
2018-04-06 14:00:00,82.434,82.416
2018-04-06 15:00:00,82.393,82.34
2018-04-06 16:00:00,82.362,82.279
2018-04-06 17:00:00,82.3,82.184
2018-04-06 18:00:00,82.213,82.087
2018-04-06 19:00:00,82.141,82.002
2018-04-06 20:00:00,82.101,82.017
2018-04-08 21:00:00,82.063,82.039
2018-04-08 22:00:00,82.024,82.047
2018-04-08 23:00:00,82.043,82.069
2018-04-09 00:00:00,82.088,82.138
2018-04-09 01:00:00,82.109,82.172
2018-04-09 02:00:00,82.137,82.205
2018-04-09 03:00:00,82.192,82.246
2018-04-09 04:00:00,82.235,82.298
2018-04-09 05:00:00,82.259,82.313
2018-04-09 06:00:00,82.285,82.325
2018-04-09 07:00:00,82.285,82.273
2018-04-09 08:00:00,82.264,82.215
2018-04-09 09:00:00,82.219,82.113
2018-04-09 10:00:00,82.167,82.062
2018-04-09 11:00:00,82.127,82.039
2018-04-09 12:00:00,82.069,82.025
2018-04-09 13:00:00,82.071,82.081
2018-04-09 14:00:00,82.11,82.181
2018-04-09 15:00:00,82.185,82.344
2018-04-09 16:00:00,82.25,82.42
2018-04-09 17:00:00,82.306,82.43
2018-04-09 18:00:00,82.344,82.345
2018-04-09 19:00:00,82.329,82.239
2018-04-09 20:00:00,82.308,82.186
2018-04-09 21:00:00,82.259,82.173
2018-04-09 22:00:00,82.216,82.193
2018-04-09 23:00:00,82.187,82.188
2018-04-10 00:00:00,82.159,82.146
2018-04-10 01:00:00,82.227,82.262
