,open,high,low,close
2019-03-01T21:00:00.000000000Z,79.234,79.254,79.202,79.224
2019-03-01T21:15:00.000000000Z,79.224,79.232,79.174,79.194
2019-03-01T21:30:00.000000000Z,79.194,79.266,79.194,79.254
2019-03-01T21:45:00.000000000Z,79.254,79.268,79.226,79.230
2019-03-03T22:00:00.000000000Z,79.230,79.548,79.230,79.494
2019-03-03T22:15:00.000000000Z,79.494,79.494,79.388,79.396
2019-03-03T22:30:00.000000000Z,79.396,79.418,79.333,79.345
2019-03-03T22:45:00.000000000Z,79.345,79.410,79.340,79.382
2019-03-03T23:00:00.000000000Z,79.382,79.561,79.382,79.518
2019-03-03T23:15:00.000000000Z,79.518,79.534,79.472,79.500
2019-03-03T23:30:00.000000000Z,79.500,79.530,79.480,79.480
2019-03-03T23:45:00.000000000Z,79.480,79.506,79.445,79.467
2019-03-04T00:00:00.000000000Z,79.467,79.477,79.428,79.472
2019-03-04T00:15:00.000000000Z,79.472,79.482,79.414,79.479
2019-03-04T00:30:00.000000000Z,79.479,79.522,79.284,79.296
2019-03-04T00:45:00.000000000Z,79.296,79.347,79.252,79.347
2019-03-04T01:00:00.000000000Z,79.347,79.363,79.306,79.318
2019-03-04T01:15:00.000000000Z,79.318,79.370,79.312,79.360
2019-03-04T01:30:00.000000000Z,79.360,79.394,79.334,79.382
2019-03-04T01:45:00.000000000Z,79.382,79.410,79.366,79.392
2019-03-04T02:00:00.000000000Z,79.392,79.392,79.354,79.362
2019-03-04T02:15:00.000000000Z,79.362,79.370,79.335,79.348
2019-03-04T02:30:00.000000000Z,79.348,79.350,79.300,79.302
2019-03-04T02:45:00.000000000Z,79.302,79.339,79.296,79.326
2019-03-04T03:00:00.000000000Z,79.326,79.356,79.318,79.339
2019-03-04T03:15:00.000000000Z,79.339,79.341,79.302,79.302
2019-03-04T03:30:00.000000000Z,79.302,79.395,79.288,79.395
2019-03-04T03:45:00.000000000Z,79.395,79.524,79.358,79.517
2019-03-04T04:00:00.000000000Z,79.517,79.522,79.398,79.436
2019-03-04T04:15:00.000000000Z,79.436,79.471,79.430,79.460
2019-03-04T04:30:00.000000000Z,79.460,79.480,79.409,79.411
2019-03-04T04:45:00.000000000Z,79.411,79.431,79.408,79.413
2019-03-04T05:00:00.000000000Z,79.413,79.458,79.384,79.407
2019-03-04T05:15:00.000000000Z,79.407,79.412,79.360,79.406
2019-03-04T05:30:00.000000000Z,79.406,79.411,79.349,79.380
2019-03-04T05:45:00.000000000Z,79.380,79.393,79.350,79.376
2019-03-04T06:00:00.000000000Z,79.376,79.394,79.354,79.390
2019-03-04T06:15:00.000000000Z,79.390,79.418,79.363,79.410
2019-03-04T06:30:00.000000000Z,79.410,79.410,79.381,79.400
2019-03-04T06:45:00.000000000Z,79.400,79.414,79.376,79.379
2019-03-04T07:00:00.000000000Z,79.379,79.388,79.354,79.372
2019-03-04T07:15:00.000000000Z,79.372,79.372,79.325,79.358
2019-03-04T07:30:00.000000000Z,79.358,79.364,79.302,79.323
2019-03-04T07:45:00.000000000Z,79.323,79.323,79.264,79.302
2019-03-04T08:00:00.000000000Z,79.302,79.308,79.248,79.258
2019-03-04T08:15:00.000000000Z,79.258,79.292,79.237,79.282
2019-03-04T08:30:00.000000000Z,79.282,79.298,79.167,79.167
2019-03-04T08:45:00.000000000Z,79.167,79.226,79.156,79.169
2019-03-04T09:00:00.000000000Z,79.169,79.230,79.167,79.218
2019-03-04T09:15:00.000000000Z,79.218,79.250,79.202,79.218
2019-03-04T09:30:00.000000000Z,79.218,79.242,79.188,79.200
2019-03-04T09:45:00.000000000Z,79.200,79.258,79.177,79.222
2019-03-04T10:00:00.000000000Z,79.222,79.244,79.189,79.224
