,entry,exit
0,2018-04-04 07:00:00,2018-04-04 13:00:00
1,2018-04-05 04:00:00,2018-04-05 09:00:00
2,2018-04-05 11:00:00,2018-04-05 14:00:00
3,2018-04-05 19:00:00,2018-04-05 22:00:00
4,2018-04-05 23:00:00,2018-04-06 03:00:00
5,2018-04-06 12:00:00,2018-04-08 23:00:00
6,2018-04-09 08:00:00,2018-04-09 14:00:00
7,2018-04-09 20:00:00,2018-04-10 00:00:00
8,2018-04-10 01:00:00,2018-04-10 02:00:00
9,2018-04-10 08:00:00,2018-04-10 12:00:00
10,2018-04-10 21:00:00,2018-04-11 00:00:00
11,2018-04-11 01:00:00,2018-04-11 15:00:00
12,2018-04-11 20:00:00,2018-04-12 01:00:00
13,2018-04-12 04:00:00,2018-04-12 08:00:00
14,2018-04-12 09:00:00,2018-04-12 11:00:00
15,2018-04-12 19:00:00,2018-04-12 22:00:00
16,2018-04-13 14:00:00,2018-04-15 23:00:00
17,2018-04-16 03:00:00,2018-04-16 10:00:00
18,2018-04-16 18:00:00,2018-04-16 22:00:00
19,2018-04-17 00:00:00,2018-04-17 07:00:00
20,2018-04-17 12:00:00,2018-04-17 16:00:00
21,2018-04-17 17:00:00,2018-04-17 22:00:00
22,2018-04-18 08:00:00,2018-04-18 13:00:00
23,2018-04-18 19:00:00,2018-04-18 21:00:00
24,2018-04-19 09:00:00,2018-04-19 12:00:00
25,2018-04-19 13:00:00,2018-04-19 22:00:00
26,2018-04-20 01:00:00,2018-04-20 02:00:00
27,2018-04-20 06:00:00,2018-04-22 21:00:00
28,2018-04-23 07:00:00,2018-04-23 12:00:00
29,2018-04-23 15:00:00,2018-04-23 17:00:00
30,2018-04-23 20:00:00,2018-04-23 22:00:00
31,2018-04-24 01:00:00,2018-04-24 02:00:00
32,2018-04-24 17:00:00,2018-04-24 22:00:00
33,2018-04-25 02:00:00,2018-04-25 08:00:00
34,2018-04-25 13:00:00,2018-04-25 17:00:00
35,2018-04-26 05:00:00,2018-04-26 12:00:00
36,2018-04-26 14:00:00,2018-04-26 23:00:00
37,2018-04-27 02:00:00,2018-04-27 09:00:00
38,2018-04-27 16:00:00,2018-04-27 19:00:00
39,2018-04-30 00:00:00,2018-04-30 07:00:00
40,2018-04-30 09:00:00,2018-04-30 15:00:00
41,2018-04-30 17:00:00,2018-05-01 01:00:00
42,2018-05-01 08:00:00,2018-05-01 12:00:00
43,2018-05-01 13:00:00,2018-05-01 19:00:00
44,2018-05-02 00:00:00,2018-05-02 04:00:00
45,2018-05-02 12:00:00,2018-05-02 17:00:00
