,open,high,low,close
2018-06-25 16:00:00,81.169,81.187,81.005,81.034
2018-06-25 16:15:00,81.032,81.098,80.993,81.090
2018-06-25 16:30:00,81.087,81.097,81.017,81.060
2018-06-25 16:45:00,81.058,81.084,80.993,81.058
2018-06-25 17:00:00,81.060,81.064,81.016,81.018
2018-06-25 17:15:00,81.015,81.050,80.994,81.024
2018-06-25 17:30:00,81.026,81.074,81.018,81.071
2018-06-25 17:45:00,81.074,81.093,81.048,81.062
2018-06-25 18:00:00,81.059,81.128,81.054,81.094
2018-06-25 18:15:00,81.091,81.108,81.059,81.105
2018-06-25 18:30:00,81.108,81.110,81.020,81.058
2018-06-25 18:45:00,81.056,81.056,80.988,81.039
2018-06-25 19:00:00,81.036,81.122,81.036,81.059
2018-06-25 19:15:00,81.056,81.123,81.052,81.098
2018-06-25 19:30:00,81.096,81.526,81.092,81.401
2018-06-25 19:45:00,81.404,81.412,81.342,81.342
2018-06-25 20:00:00,81.344,81.348,81.262,81.320
2018-06-25 20:15:00,81.323,81.352,81.321,81.340
2018-06-25 20:30:00,81.338,81.357,81.333,81.344
2018-06-25 20:45:00,81.342,81.379,81.332,81.378
2018-06-25 21:00:00,81.370,81.386,81.353,81.386
2018-06-25 21:15:00,81.386,81.386,81.351,81.353
2018-06-25 21:30:00,81.351,81.425,81.326,81.364
2018-06-25 21:45:00,81.366,81.431,81.366,81.417
2018-06-25 22:00:00,81.420,81.422,81.350,81.360
2018-06-25 22:15:00,81.357,81.364,81.342,81.348
2018-06-25 22:30:00,81.346,81.356,81.325,81.327
2018-06-25 22:45:00,81.330,81.334,81.300,81.328
2018-06-25 23:00:00,81.330,81.350,81.294,81.297
2018-06-25 23:15:00,81.299,81.320,81.273,81.313
2018-06-25 23:30:00,81.316,81.316,81.247,81.250
2018-06-25 23:45:00,81.247,81.262,81.228,81.236
2018-06-26 00:00:00,81.238,81.254,81.098,81.102
2018-06-26 00:15:00,81.104,81.250,81.100,81.230
2018-06-26 00:30:00,81.232,81.390,81.216,81.360
2018-06-26 00:45:00,81.363,81.377,81.238,81.254
2018-06-26 01:00:00,81.256,81.328,81.230,81.320
2018-06-26 01:15:00,81.322,81.360,81.236,81.256
2018-06-26 01:30:00,81.254,81.258,81.113,81.150
2018-06-26 01:45:00,81.148,81.179,81.074,81.098
2018-06-26 02:00:00,81.100,81.132,80.970,81.022
2018-06-26 02:15:00,81.020,81.179,80.997,81.146
2018-06-26 02:30:00,81.143,81.148,81.066,81.119
2018-06-26 02:45:00,81.122,81.126,81.030,81.043
2018-06-26 03:00:00,81.046,81.084,81.030,81.030
2018-06-26 03:15:00,81.032,81.074,81.032,81.052
2018-06-26 03:30:00,81.055,81.126,81.055,81.085
2018-06-26 03:45:00,81.083,81.161,81.083,81.112
2018-06-26 04:00:00,81.114,81.146,81.092,81.116
2018-06-26 04:15:00,81.118,81.142,81.084,81.098
