,net_profit,win_%,loss_%,win_max,loss_max,win_mean,loss_mean,average_holding_time_per_trade,max_cons_loss,mean_cons_loss,trading_exp
close_sma_5_close_sma_6,-274.62,37.60,62.40,16.36,-20.87,3.15,-2.78,4:54:50,15,2,-0.55
close_sma_5_close_sma_7,-265.09,38.20,61.80,24.59,-22.24,3.87,-3.25,7:50:24,15,3,-0.53
close_sma_5_close_sma_8,-107.36,39.00,61.00,38.26,-18.37,5.05,-3.58,9:49:26,12,2,-0.21
close_sma_5_close_sma_9,114.11,37.60,62.20,58.47,-27.55,7.26,-4.02,11:41:24,12,2,0.23
close_sma_5_close_sma_10,79.70,37.20,62.60,61.29,-20.81,7.98,-4.48,12:45:21,12,3,0.16
close_sma_5_close_sma_12,131.56,35.60,64.00,64.28,-21.70,9.66,-4.96,15:20:45,10,3,0.26
close_sma_5_close_sma_14,99.08,36.40,63.60,74.28,-32.65,10.79,-5.87,18:35:45,11,3,0.19
close_sma_5_close_sma_15,123.10,37.00,63.00,60.42,-32.48,11.04,-6.09,19:20:24,10,3,0.25
close_sma_5_close_sma_16,189.44,38.20,61.80,77.14,-31.46,11.44,-6.46,20:43:19,11,3,0.38
close_sma_5_close_sma_18,226.90,38.20,61.80,78.30,-33.54,12.07,-6.73,22:26:31,12,3,0.45
close_sma_5_close_sma_20,132.33,36.80,63.20,77.01,-36.89,11.81,-6.46,23:53:31,11,3,0.26
close_sma_5_close_sma_24,234.64,35.00,65.00,98.59,-30.49,13.40,-6.49,3:22:55,16,3,0.47
close_sma_5_close_sma_25,202.56,34.80,65.20,99.02,-30.21,13.42,-6.54,4:17:31,14,3,0.41
close_sma_5_close_sma_28,68.88,35.20,64.80,92.88,-28.66,12.04,-6.33,6:00:28,13,3,0.14
close_sma_5_close_sma_30,130.39,34.00,66.00,143.26,-37.78,13.37,-6.49,7:25:12,12,3,0.26
close_sma_5_close_sma_32,117.46,33.60,66.40,144.25,-40.77,14.02,-6.74,9:02:38,14,3,0.24
close_sma_5_close_sma_35,38.56,31.80,68.20,147.22,-44.21,15.08,-6.92,11:09:00,21,3,0.08
close_sma_5_close_sma_36,-92.44,31.20,68.80,139.48,-40.34,14.47,-6.83,11:26:38,19,3,-0.18
close_sma_5_close_sma_40,-139.70,30.80,69.20,139.60,-42.40,15.11,-7.13,13:10:48,12,3,-0.28
close_sma_5_close_sma_45,-69.28,30.60,69.40,133.87,-44.87,15.36,-6.97,15:32:38,18,3,-0.14
close_sma_5_close_sma_48,-138.46,31.20,68.80,134.81,-54.08,15.35,-7.36,17:17:09,16,3,-0.27
close_sma_5_close_sma_50,-173.37,30.00,69.80,145.73,-57.20,16.10,-7.42,17:40:19,15,3,-0.35
close_sma_5_close_sma_56,-150.57,29.20,70.80,143.21,-60.62,17.67,-7.71,21:04:48,15,3,-0.30
close_sma_5_close_sma_64,-19.51,27.40,72.40,142.51,-63.17,19.61,-7.48,0:15:57,15,4,-0.04
close_sma_5_close_sma_70,-140.47,25.40,74.40,142.39,-59.11,19.81,-7.14,1:15:43,17,4,-0.28
close_sma_5_close_sma_72,-163.41,27.40,72.60,147.45,-59.77,18.58,-7.46,1:18:43,16,4,-0.33
close_sma_5_close_sma_80,-96.71,28.40,71.60,145.30,-59.08,18.10,-7.45,7:45:57,14,4,-0.19
close_sma_5_close_sma_90,-190.25,27.80,72.00,133.59,-58.97,17.64,-7.34,9:19:40,12,3,-0.38
close_sma_5_close_sma_96,-207.79,25.64,74.36,118.38,-70.48,19.85,-7.44,13:59:52,18,4,-0.44
close_sma_5_close_sma_100,-226.81,25.88,74.12,115.24,-69.41,19.69,-7.55,16:11:26,15,4,-0.50
close_sma_6_close_sma_7,-282.40,38.80,60.80,22.29,-20.80,2.86,-2.76,5:41:02,9,3,-0.57
close_sma_6_close_sma_8,-219.45,37.60,62.40,22.97,-18.95,4.06,-3.15,8:27:14,9,3,-0.44
close_sma_6_close_sma_9,-166.43,35.80,64.20,36.79,-17.79,5.50,-3.58,10:09:28,14,3,-0.33
close_sma_6_close_sma_10,127.81,38.40,61.60,60.56,-18.68,7.52,-4.27,12:22:19,10,3,0.26
close_sma_6_close_sma_12,164.73,37.60,62.40,65.07,-31.45,9.42,-5.15,15:10:55,14,3,0.33
close_sma_6_close_sma_14,103.58,36.80,63.20,74.81,-35.41,11.56,-6.41,19:01:19,11,3,0.20
close_sma_6_close_sma_15,307.19,39.60,59.80,66.60,-34.43,12.14,-7.01,20:14:24,10,2,0.62
close_sma_6_close_sma_16,192.90,39.00,61.00,79.50,-32.16,11.28,-6.58,21:01:55,10,2,0.39
close_sma_6_close_sma_18,273.53,38.40,61.40,81.27,-34.85,12.27,-6.78,22:53:45,11,3,0.55
close_sma_6_close_sma_20,222.62,38.00,61.80,79.86,-38.45,12.11,-6.72,0:48:50,12,3,0.45
close_sma_6_close_sma_24,172.75,36.40,63.40,100.28,-32.93,12.91,-6.87,4:16:55,16,3,0.34
close_sma_6_close_sma_25,204.12,36.20,63.80,100.97,-32.78,13.39,-6.96,5:12:36,15,3,0.41
close_sma_6_close_sma_28,179.84,34.20,65.80,101.37,-39.41,14.16,-6.82,7:39:07,17,3,0.36
